Front	Back	Tags
<h3>Chương 1: Khảo sát hàm số - Tính đơn điệu bậc 3 (Vận dụng)</h3><p>Tìm tất cả các giá trị thực của $m$ để hàm số $y = \frac{1}{3}x^3 - mx^2 + (m^2 - m + 1)x + 2025$ đồng biến trên $\mathbb{R}$.</p>	"<b>🎯 DẠNG TOÁN:</b> Tìm tham số $m$ để tam thức bậc 2 không đổi dấu<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>1. Tính $y' = x^2 - 2mx + (m^2 - m + 1)$.
2. Đồng biến trên $\mathbb{R} \iff y' \ge 0, \forall x \in \mathbb{R} \iff \Delta' \le 0$.
3. Giải bất phương trình $\Delta' \le 0$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Nhớ lấy dấu bằng ở $\Delta' \le 0$ đối với hàm đa thức.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$y' = x^2 - 2mx + m^2 - m + 1 \ge 0, \forall x \iff \Delta' = m^2 - (m^2 - m + 1) = m - 1 \le 0 \iff m \le 1$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $m \le 1$"	Tính_đơn_điệu_bậc_3 Vận_dụng
<h3>Chương 1: Khảo sát hàm số - Đơn điệu phân thức (Vận dụng cao)</h3><p>Tìm $m$ để hàm số $y = \frac{mx + 4}{x + m}$ nghịch biến trên khoảng $(1; +\infty)$.</p>	"<b>🎯 DẠNG TOÁN:</b> Hàm bậc nhất/bậc nhất đơn điệu trên khoảng<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>1. $y' = \frac{m^2 - 4}{(x + m)^2}$.
2. Điều kiện nghịch biến: $y' < 0$ và $-m \notin (1; +\infty) \iff -m \le 1 \iff m \ge -1$.
3. Giải hệ điều kiện.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Tuyệt đối KHÔNG CÓ DẤU BẰNG ở đạo hàm hàm bậc nhất/bậc nhất ($y' < 0$). Và đừng quên điều kiện điểm gián đoạn $-m \le 1$.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$\begin{cases} m^2 - 4 < 0 \\ -m \le 1 \end{cases} \iff \begin{cases} -2 < m < 2 \\ m \ge -1 \end{cases} \iff -1 \le m < 2$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $-1 \le m < 2$"	Đơn_điệu_phân_thức Vận_dụng_cao
<h3>Chương 1: Khảo sát hàm số - Đường thẳng qua 2 cực trị (Thông hiểu)</h3><p>Viết phương trình đường thẳng đi qua 2 điểm cực trị của $y = \frac{x^2 - 3x + 6}{x - 1}$.</p>	"<b>🎯 DẠNG TOÁN:</b> Đường thẳng qua 2 cực trị của hàm phân thức bậc 2/bậc 1<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>Dùng công thức đạo hàm tử chia đạo hàm mẫu: $y = \frac{u'(x)}{v'(x)} = \frac{2x - 3}{1} = 2x - 3$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Không cần giải phương trình tìm toạ độ từng điểm cực trị.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$y = \frac{(x^2 - 3x + 6)'}{(x - 1)'} = \frac{2x - 3}{1} = 2x - 3$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $y = 2x - 3$"	Đường_thẳng_qua_2_cực_trị Thông_hiểu
<h3>Chương 1: Khảo sát hàm số - Cực trị trị tuyệt đối (Vận dụng cao)</h3><p>Tìm số điểm cực trị của hàm số $g(x) = |x^3 - 3x^2 + 1|$.</p>	"<b>🎯 DẠNG TOÁN:</b> Số điểm cực trị của $y = |f(x)|$<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>Số cực trị $= m + n$, với $m$ là số cực trị của $f(x)$ và $n$ là số nghiệm đơn của $f(x) = 0$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Chỉ đếm nghiệm đơn (cắt trục $Ox$), bỏ qua nghiệm kép (tiếp xúc).<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$f(x) = x^3 - 3x^2 + 1$ có $m = 2$ cực trị ($x = 0, x = 2$).
$f(0) = 1 > 0, f(2) = -3 < 0 \implies f(x)=0$ có $n = 3$ nghiệm đơn.
Số cực trị $= 2 + 3 = 5$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $5$ điểm cực trị"	Cực_trị_trị_tuyệt_đối Vận_dụng_cao
<h3>Chương 1: Khảo sát hàm số - Tiệm cận xiên (Thông hiểu)</h3><p>Tìm phương trình tiệm cận xiên của đồ thị hàm số $y = \frac{2x^2 - 5x + 7}{x - 2}$.</p>	"<b>🎯 DẠNG TOÁN:</b> Xác định tiệm cận xiên bằng chia đa thức<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>Chia tử cho mẫu: $\frac{2x^2 - 5x + 7}{x - 2} = 2x - 1 + \frac{5}{x - 2}$.
Phần thương $y = 2x - 1$ là tiệm cận xiên.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Tiệm cận xiên có dạng $y = ax + b$ với $a \ne 0$.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$y = 2x - 1 + \frac{5}{x - 2} \implies \lim_{x \to \pm\infty} [y - (2x - 1)] = 0 \implies y = 2x - 1$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $y = 2x - 1$"	Tiệm_cận_xiên Thông_hiểu
<h3>Chương 1: Khảo sát hàm số - Tối ưu hóa kinh tế (Vận dụng)</h3><p>Hàm tổng chi phí sản xuất là $C(x) = x^2 + 40x + 1600$, giá bán mỗi sản phẩm là $p(x) = 200 - x$. Tìm sản lượng $x$ để lợi nhuận tối đa.</p>	"<b>🎯 DẠNG TOÁN:</b> Tối ưu hóa hàm lợi nhuận $P(x) = R(x) - C(x)$<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>1. Doanh thu: $R(x) = x(200 - x) = -x^2 + 200x$.
2. Lợi nhuận: $P(x) = R(x) - C(x) = -2x^2 + 160x - 1600$.
3. Cho $P'(x) = 0$ tìm $x$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Phân biệt rõ giữa hàm doanh thu $R(x) = x \cdot p(x)$ và hàm lợi nhuận $P(x) = R(x) - C(x)$.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$P'(x) = -4x + 160 = 0 \iff x = 40$. $P''(x) = -4 < 0 \implies x = 40$ cho lợi nhuận tối đa.<br><br>
<b>🏁 ĐÁP SỐ:</b> $x = 40$ sản phẩm"	Tối_ưu_hóa_kinh_tế Vận_dụng
<h3>Chương 1: Khảo sát hàm số - Tối ưu hóa vật liệu (Vận dụng)</h3><p>Sản xuất lon nước ngọt hình trụ có thể tích $V_0$ cố định. Tìm tỉ số giữa chiều cao $h$ và bán kính $r$ để tốn ít kim loại nhất (diện tích toàn phần nhỏ nhất).</p>	"<b>🎯 DẠNG TOÁN:</b> Bài toán cực trị hình học không gian bằng BĐT Cauchy<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>1. $V_0 = \pi r^2 h \implies h = \frac{V_0}{\pi r^2}$.
2. $S_{tp} = 2\pi r^2 + 2\pi r h = 2\pi r^2 + \frac{V_0}{r} + \frac{V_0}{r}$.
3. Áp dụng Cauchy 3 số: $2\pi r^2 = \frac{V_0}{r} \iff h = 2r$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Lon nước ngọt có 2 nắp (diện tích toàn phần $2\pi r^2 + 2\pi rh$), khác với cốc/hộp không nắp (chỉ có 1 đáy $\pi r^2$).<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>Dấu bằng Cauchy xảy ra khi $2\pi r^2 = \frac{V_0}{r} \iff 2\pi r^3 = \pi r^2 h \iff h = 2r$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $\frac{h}{r} = 2$ (Chiều cao bằng đường kính đáy)"	Tối_ưu_hóa_vật_liệu Vận_dụng
<h3>Chương 1: Khảo sát hàm số - Quang học Regiomontanus (Vận dụng cao)</h3><p>Bảng quảng cáo cao $h$ gắn trên tường, mép dưới cách tầm mắt khoảng $b$, mép trên cách tầm mắt khoảng $a$. Người quan sát đứng cách tường khoảng $x$ bằng bao nhiêu thì góc nhìn lớn nhất?</p>	"<b>🎯 DẠNG TOÁN:</b> Bài toán cực đại góc nhìn Regiomontanus<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>1. $\tan \theta = \tan(\alpha - \beta) = \frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta} = \frac{\frac{a}{x} - \frac{b}{x}}{1 + \frac{ab}{x^2}} = \frac{a - b}{x + \frac{ab}{x}}$.
2. Góc lớn nhất $\iff$ Mẫu nhỏ nhất $\iff x = \sqrt{ab}$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ $a$ và $b$ là khoảng cách tính từ tầm mắt người quan sát, không phải từ mặt đất.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>Theo BĐT Cauchy: $x + \frac{ab}{x} \ge 2\sqrt{ab}$. Dấu bằng $\iff x = \frac{ab}{x} \iff x = \sqrt{ab}$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $x = \sqrt{ab}$"	Quang_học_Regiomontanus Vận_dụng_cao
<h3>Chương 2: Vectơ & Không gian - Quy tắc hình hộp (Nhận biết)</h3><p>Cho hình hộp $ABCD.A'B'C'D'$. Biểu diễn $\vec{AC'}$ theo $\vec{AB}, \vec{AD}, \vec{AA'}$.</p>	"<b>🎯 DẠNG TOÁN:</b> Quy tắc hình hộp<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>$\vec{AC'} = \vec{AB} + \vec{AD} + \vec{AA'}$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Cả 3 vectơ phải cùng gốc $A$.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>$\vec{AB} + \vec{AD} = \vec{AC}$ và $\vec{AC} + \vec{AA'} = \vec{AC'}$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $\vec{AC'} = \vec{AB} + \vec{AD} + \vec{AA'}$"	Quy_tắc_hình_hộp Nhận_biết
<h3>Chương 2: Vectơ & Không gian - Trọng tâm tứ diện (Thông hiểu)</h3><p>Cho tứ diện $ABCD$ có trọng tâm $G$. Đẳng thức nào đúng với điểm $O$ bất kỳ?</p>	"<b>🎯 DẠNG TOÁN:</b> Hệ thức trọng tâm tứ diện<br><br>
<b>💡 HƯỚNG GIẢI:</b><br>$\vec{OA} + \vec{OB} + \vec{OC} + \vec{OD} = 4\vec{OG}$.<br><br>
<b>⚠️ LƯU Ý & CẠM BẪY:</b><br>⚠️ Hệ số của tứ diện là 4, không phải 3 như tam giác.<br><br>
<b>📝 LỜI GIẢI CHI TIẾT:</b><br>Vì $\vec{GA} + \vec{GB} + \vec{GC} + \vec{GD} = \vec{0} \implies \vec{OA} + \vec{OB} + \vec{OC} + \vec{OD} = 4\vec{OG}$.<br><br>
<b>🏁 ĐÁP SỐ:</b> $\vec{OA} + \vec{OB} + \vec{OC} + \vec{OD} = 4\vec{OG}$"	Trọng_tâm_tứ_diện Thông_hiểu
